'Alī Ābād-e Katūl	'Ali Abad-e Katul	IR	37	Asia/Tehran	36.9101	54.8674	52838	134
's-Gravenzande	's-Gravenzande	NL	11	Europe/Amsterdam	52.0017	4.1653	19190	3
's-Hertogenbosch	's-Hertogenbosch	NL	06	Europe/Amsterdam	51.6992	5.3042	160783	7
'Ākra	'Akra	IQ	15	Asia/Baghdad	36.7336	43.8804	105370	674
'Ārdamatā	'Ardamata	SD	47	Africa/Khartoum	13.4755	22.4853	55637	775
6th of October City	6th of October City	EG	08	Africa/Cairo	29.8167	31.0500	368650	126
A Coruña	A Coruna	ES	58	Europe/Madrid	43.3713	-8.3960	250438	22
A Estrada	A Estrada	ES	58	Europe/Madrid	42.6891	-8.4884	20661	301
A Yun Pa	A Yun Pa	VN	52	Asia/Ho_Chi_Minh	13.4002	108.4350	35058	165
Aabenraa	Aabenraa	DK	21	Europe/Copenhagen	55.0443	9.4174	16401	16
Aachen	Aachen	DE	07	Europe/Berlin	50.7766	6.0834	265208	178
Aalborg	Aalborg	DK	19	Europe/Copenhagen	57.0480	9.9187	142937	10
Aalen	Aalen	DE	01	Europe/Berlin	48.8378	10.0933	67085	433
Aalsmeer	Aalsmeer	NL	07	Europe/Amsterdam	52.2592	4.7597	22991	-4
Aalst	Aalst	BE	VLG	Europe/Brussels	50.9360	4.0355	77534	12
Aalten	Aalten	NL	03	Europe/Amsterdam	51.9250	6.5806	19141	27
Aalter	Aalter	BE	VLG	Europe/Brussels	51.0902	3.4469	18802	17
Aarau	Aarau	CH	AG	Europe/Zurich	47.3925	8.0442	21503	389
Aarschot	Aarschot	BE	VLG	Europe/Brussels	50.9871	4.8369	27656	14
Aarsâl	Aarsal	LB	11	Asia/Beirut	34.1794	36.4208	50000	1407
Aba	Aba	NG	45	Africa/Lagos	5.1066	7.3667	1160000	64
Abadan	Abadan	IR	15	Asia/Tehran	30.3392	48.3043	231476	6
Abadan	Abadan	TM	01	Asia/Ashgabat	38.0541	58.1972	39481	228
Abadeh	Abadeh	IR	07	Asia/Tehran	31.1608	52.6506	59116	2006
Abadia de Goiás	Abadia de Goias	BR	29	America/Sao_Paulo	-16.7572	-49.4375	19128	895
Abaetetuba	Abaetetuba	BR	16	America/Belem	-1.7181	-48.8825	158188	9
Abaeté	Abaete	BR	15	America/Sao_Paulo	-19.1600	-45.4458	22675	639
Abakaliki	Abakaliki	NG	53	Africa/Lagos	6.3248	8.1137	134102	65
Abakan	Abakan	RU	31	Asia/Krasnoyarsk	53.7154	91.4259	184168	248
Abala	Abala	ET	53	Africa/Addis_Ababa	14.2333	37.0000	25300	784
Abalak	Abalak	NE	06	Africa/Niamey	15.4509	6.2793	29561	439
Abancay	Abancay	PE	03	America/Lima	-13.6343	-72.8838	72277	2629
Abano Terme	Abano Terme	IT	20	Europe/Rome	45.3575	11.7873	18224	12
Abarkūh	Abarkuh	IR	40	Asia/Tehran	31.1289	53.2824	27524	1508
Abaré	Abare	BR	05	America/Bahia	-8.7203	-39.1139	20347	316
Abashiri	Abashiri	JP	12	Asia/Tokyo	44.0213	144.2697	35759	4
Abasolo	Abasolo	MX	11	America/Mexico_City	20.4503	-101.5301	27389	1712
Abay	Abay	KZ	10	Asia/Almaty	41.3468	68.9504	24047	346
Abay	Abay	KZ	12	Asia/Almaty	49.6354	72.8652	35454	500
Abaza	Abaza	RU	31	Asia/Krasnoyarsk	52.6530	90.0945	18094	450
Abba	Abba	CF	09	Africa/Bangui	5.3335	15.1520	20043	728
Abbeville	Abbeville	FR	32	Europe/Paris	50.1052	1.8355	26461	10
Abbey Wood	Abbey Wood	GB	ENG	Europe/London	51.4869	0.1075	17700	9
Abbiategrasso	Abbiategrasso	IT	09	Europe/Rome	45.3982	8.9168	32784	126
Abbotsford	Abbotsford	CA	02	America/Vancouver	49.0580	-122.2526	141397	114
Abbottabad	Abbottabad	PK	03	Asia/Karachi	34.1463	73.2117	275890	1241
Abdu Rahiman Nagar	Abdu Rahiman Nagar	IN	13	Asia/Kolkata	11.0698	75.9388	41993	22
Abdulino	Abdulino	RU	55	Asia/Yekaterinburg	53.6858	53.6555	21195	189
Abejorral	Abejorral	CO	02	America/Bogota	5.7893	-75.4273	17599	2167
Abelardo Luz	Abelardo Luz	BR	26	America/Sao_Paulo	-26.5647	-52.3283	17392	760
Abengourou	Abengourou	CI	94	Africa/Abidjan	6.7297	-3.4964	130810	197
Abeokuta	Abeokuta	NG	16	Africa/Lagos	7.1557	3.3451	735000	64
Abepura	Abepura	ID	36	Asia/Jayapura	-2.5964	140.6324	62248	85
Aberdare	Aberdare	GB	WLS	Europe/London	51.7144	-3.4492	31135	135
Aberdeen	Aberdeen	GB	SCT	Europe/London	57.1437	-2.0981	198590	13
Aberdeen	Aberdeen	HK	HSO	Asia/Hong_Kong	22.2480	114.1529	157400	19
Aberdeen	Aberdeen	US	MD	America/New_York	39.5096	-76.1641	15580	25
Aberdeen	Aberdeen	US	SD	America/Chicago	45.4647	-98.4865	28102	397
Aberdeen	Aberdeen	US	WA	America/Los_Angeles	46.9754	-123.8157	16276	4
Aberystwyth	Aberystwyth	GB	WLS	Europe/London	52.4155	-4.0829	18749	10
Abha	Abha	SA	11	Asia/Riyadh	18.2164	42.5053	210886	2228
Abhar	Abhar	IR	36	Asia/Tehran	36.1468	49.2180	69889	1541
Abhayāpuri	Abhayapuri	IN	03	Asia/Kolkata	26.3225	90.6853	15847	44
